TXN,CARDS,DE,C,S,F,M,T,Description
PREAUTH,V,2,X,X,X,M,X,Primary Account Number (PAN)
PREAUTH,V,3,0030NN,0030NN,0030NN,0030NN,0030NN,Processing Code
PREAUTH,V,4,M,M,M,M,M,"Amount, Transaction"
PREAUTH,V,11,M,M,M,M,M,Systems Trace Audit Number
PREAUTH,V,12,O,O,O,O,O,"Time, Local Transaction"
PREAUTH,V,13,O,O,O,O,O,"Date, Local Transaction"
PREAUTH,V,14,X,X,X,M,X,"Date, Expiration"
PREAUTH,V,18,O,O,O,O,O,Merchant Type Code
PREAUTH,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
PREAUTH,V,24,M,M,M,M,M,Network International Identifier (NII)
PREAUTH,V,25,50,50,50,50,50,Point-of-Service Condition Code
PREAUTH,V,28,O,O,O,O,O,Transaction Fee Amount
PREAUTH,V,35,M,M,M,X,M,Track 2 Data
PREAUTH,V,36,X,X,X,X,X,Track 3 Data
PREAUTH,V,37,X,X,X,X,X,Retrieval Reference Number
PREAUTH,V,38,X,X,X,X,X,Authorization Code
PREAUTH,V,39,X,X,X,X,X,Response Code
PREAUTH,V,41,O,O,O,O,O,Card Acceptor Terminal Identification
PREAUTH,V,42,M,M,M,M,M,Card Acceptor Identification Code
PREAUTH,V,48,O,O,O,O,O,Card Verification Data
PREAUTH,V,52,M,M,M,M,M,PIN Data
PREAUTH,V,53,M,M,M,M,M,Security Related Control Information
PREAUTH,V,54,X,X,X,X,X,Additional Amounts
PREAUTH,V,55,M,X,X,X,M,EMV Chip Data
PREAUTH,V,59,O,O,O,O,O,Card Authentication Data
PREAUTH,V,61,M,M,M,M,M,Additional POS Data
PREAUTH,V,62,O,O,O,O,O,Invoice/ECR Reference Number
PREAUTH,V,63,M,M,M,M,M,Additional Data
PREAUTH,U,2,X,X,X,M,X,Primary Account Number (PAN)
PREAUTH,U,3,0000NN,0000NN,0000NN,0000NN,0000NN,Processing Code
PREAUTH,U,4,M,M,M,M,M,"Amount, Transaction"
PREAUTH,U,11,M,M,M,M,M,Systems Trace Audit Number
PREAUTH,U,12,O,O,O,O,O,"Time, Local Transaction"
PREAUTH,U,13,O,O,O,O,O,"Date, Local Transaction"
PREAUTH,U,14,X,X,X,M,X,"Date, Expiration"
PREAUTH,U,18,O,O,O,O,O,Merchant Type Code
PREAUTH,U,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
PREAUTH,U,24,M,M,M,M,M,Network International Identifier (NII)
PREAUTH,U,25,50,50,50,50,50,Point-of-Service Condition Code
PREAUTH,U,28,O,O,O,O,O,Transaction Fee Amount
PREAUTH,U,35,M,M,M,X,M,Track 2 Data
PREAUTH,U,36,C,C,C,X,C,Track 3 Data
PREAUTH,U,37,X,X,X,X,X,Retrieval Reference Number
PREAUTH,U,38,X,X,X,X,X,Authorization Code
PREAUTH,U,39,X,X,X,X,X,Response Code
PREAUTH,U,41,O,O,O,O,O,Card Acceptor Terminal Identification
PREAUTH,U,42,M,M,M,M,M,Card Acceptor Identification Code
PREAUTH,U,48,O,O,O,O,O,Card Verification Data
PREAUTH,U,52,O,O,O,O,O,PIN Data
PREAUTH,U,53,O,O,O,O,O,Security Related Control Information
PREAUTH,U,54,X,X,X,X,X,Additional Amounts
PREAUTH,U,55,M,X,X,X,M,EMV Chip Data
PREAUTH,U,59,O,O,O,O,O,Card Authentication Data
PREAUTH,U,61,M,M,M,M,M,Additional POS Data
PREAUTH,U,62,O,O,O,O,O,Invoice/ECR Reference Number
PREAUTH,U,63,M,M,M,M,M,Additional Data
PVOID,U,2,X,X,M,M,X,Primary Account Number (PAN)
PVOID,U,3,2000NN,2000NN,2000NN,2000NN,2000NN,Processing Code
PVOID,U,4,M,M,M,M,M,"Amount, Transaction"
PVOID,U,11,M,M,M,M,M,Systems Trace Audit Number
PVOID,U,12,O,O,O,O,O,"Time, Local Transaction"
PVOID,U,13,M,M,M,M,M,"Date, Local Transaction"
PVOID,U,14,X,X,X,M,X,"Date, Expiration"
PVOID,U,22,01N,01N,01N,01N,01N,Point-of-Service Entry Mode
PVOID,U,24,M,M,M,M,M,Network International Identifier (NII)
PVOID,U,25,50,50,50,50,50,Point-of-Service Condition Code
PVOID,U,35,X,M,X,X,X,Track 2 Data
PVOID,U,36,O,O,O,O,O,Track 3 Data
PVOID,U,37,M,M,M,M,M,Retrieval Reference Number
PVOID,U,38,O,O,O,O,O,Authorization Code
PVOID,U,39,X,X,X,X,X,Response Code
PVOID,U,41,O,O,O,O,O,Card Acceptor Terminal Identification
PVOID,U,42,M,M,M,M,M,Card Acceptor Identification Code
PVOID,U,48,O,O,O,O,O,Card Verification Data
PVOID,U,52,O,O,O,O,O,PIN Data
PVOID,U,53,O,O,O,O,O,Security Related Control Information
PVOID,U,55,M,X,X,X,M,EMV Chip Data
PVOID,U,59,O,O,O,O,O,Card Authentication Data
PVOID,U,61,M,M,M,M,M,Additional POS Data
PVOID,U,62,O,O,O,O,O,Invoice/ECR Reference Number
PVOID,U,63,M,M,M,M,M,Additional Data
SALE,V,2,X,X,X,M,X,Primary Account Number (PAN)
SALE,V,3,0030NN,0030NN,0030NN,0030NN,0030NN,Processing Code
SALE,V,4,M,M,M,M,M,"Amount, Transaction"
SALE,V,11,M,M,M,M,M,Systems Trace Audit Number
SALE,V,12,O,O,O,O,O,"Time, Local Transaction"
SALE,V,13,O,O,O,O,O,"Date, Local Transaction"
SALE,V,14,X,X,X,M,X,"Date, Expiration"
SALE,V,18,O,O,O,O,O,Merchant Type Code
SALE,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
SALE,V,24,M,M,M,M,M,Network International Identifier (NII)
SALE,V,25,50,50,50,50,50,Point-of-Service Condition Code
SALE,V,28,O,O,O,O,O,Transaction Fee Amount
SALE,V,35,M,M,M,X,M,Track 2 Data
SALE,V,36,X,X,X,X,X,Track 3 Data
SALE,V,37,X,X,X,X,X,Retrieval Reference Number
SALE,V,38,X,X,X,X,X,Authorization Code
SALE,V,39,X,X,X,X,X,Response Code
SALE,V,41,M,M,M,M,M,Card Acceptor Terminal Identification
SALE,V,42,M,M,M,M,M,Card Acceptor Identification Code
SALE,V,48,O,O,O,O,O,Card Verification Data
SALE,V,52,O,O,O,O,O,PIN Data
SALE,V,53,O,O,O,O,O,Security Related Control Information
SALE,V,54,O,O,O,O,O,Additional Amounts
SALE,V,55,M,X,X,X,M,EMV Chip Data
SALE,V,59,O,O,O,O,O,Card Authentication Data
SALE,V,61,M,M,M,M,M,Additional POS Data
SALE,V,62,O,O,O,O,O,Invoice/ECR Reference Number
SALE,V,63,M,M,M,M,M,Additional Data
SALE,U,2,X,X,X,M,X,Primary Account Number (PAN)
SALE,U,3,0000NN,0000NN,0000NN,0000NN,0000NN,Processing Code
SALE,U,4,M,M,M,M,M,"Amount, Transaction"
SALE,U,11,M,M,M,M,M,Systems Trace Audit Number
SALE,U,12,O,O,O,O,O,"Time, Local Transaction"
SALE,U,13,O,O,O,O,O,"Date, Local Transaction"
SALE,U,14,X,X,X,M,X,"Date, Expiration"
SALE,U,18,O,O,O,O,O,Merchant Type Code
SALE,U,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
SALE,U,24,M,M,M,M,M,Network International Identifier (NII)
SALE,U,25,50,50,50,50,50,Point-of-Service Condition Code
SALE,U,28,O,O,O,O,O,Transaction Fee Amount
SALE,U,35,M,M,M,X,M,Track 2 Data
SALE,U,36,C,C,C,X,C,Track 3 Data
SALE,U,37,X,X,X,X,X,Retrieval Reference Number
SALE,U,38,X,X,X,X,X,Authorization Code
SALE,U,39,X,X,X,X,X,Response Code
SALE,U,41,M,M,M,M,M,Card Acceptor Terminal Identification
SALE,U,42,M,M,M,M,M,Card Acceptor Identification Code
SALE,U,48,O,O,O,O,O,Card Verification Data
SALE,U,52,O,O,O,O,O,PIN Data
SALE,U,53,O,O,O,O,O,Security Related Control Information
SALE,U,54,O,O,O,O,O,Additional Amounts
SALE,U,55,M,X,X,X,M,EMV Chip Data
SALE,U,59,O,O,O,O,O,Card Authentication Data
SALE,U,61,M,M,M,M,M,Additional POS Data
SALE,U,62,O,O,O,O,O,Invoice/ECR Reference Number
SALE,U,63,M,M,M,M,M,Additional Data
VOID,V,2,X,X,X,M,X,Primary Account Number (PAN)
VOID,V,3,0230NN,0230NN,0230NN,0230NN,0230NN,Processing Code
VOID,V,4,M,M,M,M,M,"Amount, Transaction"
VOID,V,11,M,M,M,M,M,Systems Trace Audit Number
VOID,V,12,O,O,O,O,O,"Time, Local Transaction"
VOID,V,13,O,O,O,O,O,"Date, Local Transaction"
VOID,V,14,X,X,X,M,X,"Date, Expiration"
VOID,V,18,O,O,O,O,O,Merchant Type Code
VOID,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
VOID,V,24,M,M,M,M,M,Network International Identifier (NII)
VOID,V,25,50,50,50,50,50,Point-of-Service Condition Code
VOID,V,28,O,O,O,O,O,Transaction Fee Amount
VOID,V,35,M,M,M,X,M,Track 2 Data
VOID,V,36,X,X,X,X,X,Track 3 Data
VOID,V,37,M,M,M,M,M,Retrieval Reference Number
VOID,V,38,X,X,X,X,X,Authorization Code
VOID,V,39,X,X,X,X,X,Response Code
VOID,V,41,M,M,M,M,M,Card Acceptor Terminal Identification
VOID,V,42,M,M,M,M,M,Card Acceptor Identification Code
VOID,V,48,O,O,O,O,O,Card Verification Data
VOID,V,52,O,O,O,O,O,PIN Data
VOID,V,53,O,O,O,O,O,Security Related Control Information
VOID,V,54,O,O,O,O,O,Additional Amounts
VOID,V,55,M,X,X,X,M,EMV Chip Data
VOID,V,59,O,O,O,O,O,Card Authentication Data
VOID,V,61,M,M,M,M,M,Additional POS Data
VOID,V,62,M,M,M,M,M,Invoice/ECR Reference Number
VOID,V,63,M,M,M,M,M,Additional Data
VOID,U,2,X,X,X,M,X,Primary Account Number (PAN)
VOID,U,3,0200NN,0200NN,0200NN,0200NN,0200NN,Processing Code
VOID,U,4,M,M,M,M,M,"Amount, Transaction"
VOID,U,11,M,M,M,M,M,Systems Trace Audit Number
VOID,U,12,O,O,O,O,O,"Time, Local Transaction"
VOID,U,13,O,O,O,O,O,"Date, Local Transaction"
VOID,U,14,X,X,X,M,X,"Date, Expiration"
VOID,U,18,O,O,O,O,O,Merchant Type Code
VOID,U,22,01N,01N,01N,01N,01N,Point-of-Service Entry Mode
VOID,U,24,M,M,M,M,M,Network International Identifier (NII)
VOID,U,25,50,50,50,50,50,Point-of-Service Condition Code
VOID,U,28,O,O,O,O,O,Transaction Fee Amount
VOID,U,35,M,M,M,X,M,Track 2 Data
VOID,U,36,O,O,O,O,O,Track 3 Data
VOID,U,37,M,M,M,M,M,Retrieval Reference Number
VOID,U,38,O,O,O,O,O,Authorization Code
VOID,U,39,X,X,X,X,X,Response Code
VOID,U,41,M,M,M,M,M,Card Acceptor Terminal Identification
VOID,U,42,M,M,M,M,M,Card Acceptor Identification Code
VOID,U,48,O,O,O,O,O,Card Verification Data
VOID,U,52,O,O,O,O,O,PIN Data
VOID,U,53,O,O,O,O,O,Security Related Control Information
VOID,U,54,O,O,O,O,O,Additional Amounts
VOID,U,55,M,X,X,X,M,EMV Chip Data
VOID,U,59,O,O,O,O,O,Card Authentication Data
VOID,U,61,M,M,M,M,M,Additional POS Data
VOID,U,62,M,M,M,M,M,Invoice/ECR Reference Number
VOID,U,63,M,M,M,M,M,Additional Data
REFUND,V,2,X,X,X,M,X,Primary Account Number (PAN)
REFUND,V,3,0230NN,0230NN,0230NN,0230NN,0230NN,Processing Code
REFUND,V,4,M,M,M,M,M,"Amount, Transaction"
REFUND,V,11,M,M,M,M,M,Systems Trace Audit Number
REFUND,V,12,O,O,O,O,O,"Time, Local Transaction"
REFUND,V,13,O,O,O,O,O,"Date, Local Transaction"
REFUND,V,14,X,X,X,M,X,"Date, Expiration"
REFUND,V,18,O,O,O,O,O,Merchant Type Code
REFUND,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
REFUND,V,24,M,M,M,M,M,Network International Identifier (NII)
REFUND,V,25,50,50,50,50,50,Point-of-Service Condition Code
REFUND,V,28,O,O,O,O,O,Transaction Fee Amount
REFUND,V,35,M,M,M,X,M,Track 2 Data
REFUND,V,36,X,X,X,X,X,Track 3 Data
REFUND,V,37,M,M,M,M,M,Retrieval Reference Number
REFUND,V,38,O,O,O,O,O,Authorization Code
REFUND,V,39,X,X,X,X,X,Response Code
REFUND,V,41,M,M,M,M,M,Card Acceptor Terminal Identification
REFUND,V,42,M,M,M,M,M,Card Acceptor Identification Code
REFUND,V,48,O,O,O,O,O,Card Verification Data
REFUND,V,52,O,O,O,O,O,PIN Data
REFUND,V,53,O,O,O,O,O,Security Related Control Information
REFUND,V,54,O,O,O,O,O,Additional Amounts
REFUND,V,55,M,X,X,X,M,EMV Chip Data
REFUND,V,59,O,O,O,O,O,Card Authentication Data
REFUND,V,61,M,M,M,M,M,Additional POS Data
REFUND,V,62,M,M,M,M,M,Invoice/ECR Reference Number
REFUND,V,63,M,M,M,M,M,Additional Data
REFUND,U,2,X,X,X,M,X,Primary Account Number (PAN)
REFUND,U,3,2000NN,2000NN,2000NN,2000NN,2000NN,Processing Code
REFUND,U,4,M,M,M,M,M,"Amount, Transaction"
REFUND,U,11,M,M,M,M,M,Systems Trace Audit Number
REFUND,U,12,O,O,O,O,O,"Time, Local Transaction"
REFUND,U,13,O,O,O,O,O,"Date, Local Transaction"
REFUND,U,14,X,X,X,M,X,"Date, Expiration"
REFUND,U,18,O,O,O,O,O,Merchant Type Code
REFUND,U,22,01N,01N,01N,01N,01N,Point-of-Service Entry Mode
REFUND,U,24,M,M,M,M,M,Network International Identifier (NII)
REFUND,U,25,50,50,50,50,50,Point-of-Service Condition Code
REFUND,U,28,O,O,O,O,O,Transaction Fee Amount
REFUND,U,35,M,M,M,X,M,Track 2 Data
REFUND,U,36,O,O,O,O,O,Track 3 Data
REFUND,U,37,M,M,M,M,M,Retrieval Reference Number
REFUND,U,38,O,O,O,O,O,Authorization Code
REFUND,U,39,X,X,X,X,X,Response Code
REFUND,U,41,M,M,M,M,M,Card Acceptor Terminal Identification
REFUND,U,42,M,M,M,M,M,Card Acceptor Identification Code
REFUND,U,48,O,O,O,O,O,Card Verification Data
REFUND,U,52,O,O,O,O,O,PIN Data
REFUND,U,53,O,O,O,O,O,Security Related Control Information
REFUND,U,54,O,O,O,O,O,Additional Amounts
REFUND,U,55,M,X,X,X,M,EMV Chip Data
REFUND,U,59,O,O,O,O,O,Card Authentication Data
REFUND,U,61,M,M,M,M,M,Additional POS Data
REFUND,U,62,M,M,M,M,M,Invoice/ECR Reference Number
REFUND,U,63,M,M,M,M,M,Additional Data
RVOID,V,2,X,X,X,M,X,Primary Account Number (PAN)
RVOID,V,3,2230NN,2230NN,2230NN,2230NN,2230NN,Processing Code
RVOID,V,4,M,M,M,M,M,"Amount, Transaction"
RVOID,V,11,M,M,M,M,M,Systems Trace Audit Number
RVOID,V,12,O,O,O,O,O,"Time, Local Transaction"
RVOID,V,13,O,O,O,O,O,"Date, Local Transaction"
RVOID,V,14,X,X,X,M,X,"Date, Expiration"
RVOID,V,18,O,O,O,O,O,Merchant Type Code
RVOID,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
RVOID,V,24,M,M,M,M,M,Network International Identifier (NII)
RVOID,V,25,50,50,50,50,50,Point-of-Service Condition Code
RVOID,V,28,O,O,O,O,O,Transaction Fee Amount
RVOID,V,35,M,M,M,X,M,Track 2 Data
RVOID,V,36,X,X,X,X,X,Track 3 Data
RVOID,V,37,M,M,M,M,M,Retrieval Reference Number
RVOID,V,38,X,X,X,X,X,Authorization Code
RVOID,V,39,X,X,X,X,X,Response Code
RVOID,V,41,M,M,M,M,M,Card Acceptor Terminal Identification
RVOID,V,42,M,M,M,M,M,Card Acceptor Identification Code
RVOID,V,48,O,O,O,O,O,Card Verification Data
RVOID,V,52,O,O,O,O,O,PIN Data
RVOID,V,53,O,O,O,O,O,Security Related Control Information
RVOID,V,54,O,O,O,O,O,Additional Amounts
RVOID,V,55,M,X,X,X,M,EMV Chip Data
RVOID,V,59,O,O,O,O,O,Card Authentication Data
RVOID,V,61,M,M,M,M,M,Additional POS Data
RVOID,V,62,M,M,M,M,M,Invoice/ECR Reference Number
RVOID,V,63,M,M,M,M,M,Additional Data
COMPLETION,V,2,X,X,X,M,X,Primary Account Number (PAN)
COMPLETION,V,3,0030NN,0030NN,0030NN,0030NN,0030NN,Processing Code
COMPLETION,V,4,M,M,M,M,M,"Amount, Transaction"
COMPLETION,V,11,M,M,M,M,M,Systems Trace Audit Number
COMPLETION,V,12,M,M,M,M,M,"Time, Local Transaction"
COMPLETION,V,13,M,M,M,M,M,"Date, Local Transaction"
COMPLETION,V,14,X,X,X,M,X,"Date, Expiration"
COMPLETION,V,18,O,O,O,O,O,Merchant Type Code
COMPLETION,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
COMPLETION,V,24,M,M,M,M,M,Network International Identifier (NII)
COMPLETION,V,25,50,50,50,50,50,Point-of-Service Condition Code
COMPLETION,V,28,O,O,O,O,O,Transaction Fee Amount
COMPLETION,V,35,M,M,M,X,M,Track 2 Data
COMPLETION,V,36,X,X,X,X,X,Track 3 Data
COMPLETION,V,37,M,M,M,M,M,Retrieval Reference Number
COMPLETION,V,38,M,M,M,M,M,Authorization Code
COMPLETION,V,39,Y1/Y3,0,0,0,Y1/Y3,Response Code
COMPLETION,V,41,O,O,O,O,O,Card Acceptor Terminal Identification
COMPLETION,V,42,M,M,M,M,M,Card Acceptor Identification Code
COMPLETION,V,52,X,X,X,X,X,PIN Data
COMPLETION,V,53,X,X,X,X,X,Security Related Control Information
COMPLETION,V,54,O,O,O,O,O,Additional Amounts
COMPLETION,V,55,M,X,X,X,M,EMV Chip Data
COMPLETION,V,59,X,X,X,X,X,Card Authentication Data
COMPLETION,V,60,X,X,X,X,X,POS Data
COMPLETION,V,61,M,M,M,M,M,Additional POS Data
COMPLETION,V,62,X,X,X,X,X,Invoice/ECR Reference Number
COMPLETION,V,63,M,M,M,M,M,Additional Data
COMPLETION,U,2,X,X,X,M,X,Primary Account Number (PAN)
COMPLETION,U,3,0000NN,0000NN,0000NN,0000NN,0000NN,Processing Code
COMPLETION,U,4,M,M,M,M,M,"Amount, Transaction"
COMPLETION,U,11,M,M,M,M,M,Systems Trace Audit Number
COMPLETION,U,12,M,M,M,M,M,"Time, Local Transaction"
COMPLETION,U,13,M,M,M,M,M,"Date, Local Transaction"
COMPLETION,U,14,X,X,X,M,X,"Date, Expiration"
COMPLETION,U,18,O,O,O,O,O,Merchant Type Code
COMPLETION,U,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
COMPLETION,U,24,M,M,M,M,M,Network International Identifier (NII)
COMPLETION,U,25,56,56,56,56,56,Point-of-Service Condition Code
COMPLETION,U,28,O,O,O,O,O,Transaction Fee Amount
COMPLETION,U,35,M,M,M,X,M,Track 2 Data
COMPLETION,U,36,O,O,O,X,O,Track 3 Data
COMPLETION,U,37,M,M,M,M,M,Retrieval Reference Number
COMPLETION,U,38,M,M,M,M,M,Authorization Code
COMPLETION,U,39,O,O,O,O,O,Response Code
COMPLETION,U,41,O,O,O,O,O,Card Acceptor Terminal Identification
COMPLETION,U,42,M,M,M,M,M,Card Acceptor Identification Code
COMPLETION,U,52,X,X,X,X,X,PIN Data
COMPLETION,U,53,X,X,X,X,X,Security Related Control Information
COMPLETION,U,54,O,O,O,O,O,Additional Amounts
COMPLETION,U,55,M,X,X,X,M,EMV Chip Data
COMPLETION,U,59,O,O,O,O,O,Card Authentication Data
COMPLETION,U,60,X,X,X,X,X,POS Data
COMPLETION,U,61,M,M,M,M,M,Additional POS Data
COMPLETION,U,62,X,X,X,X,X,Invoice/ECR Reference Number
COMPLETION,U,63,M,M,M,M,M,Additional Data
SALEADJ,V,2,X,X,X,M,X,Primary Account Number (PAN)
SALEADJ,V,3,0230NN,0230NN,0230NN,0230NN,0230NN,Processing Code
SALEADJ,V,4,M,M,M,M,M,"Amount, Transaction"
SALEADJ,V,11,M,M,M,M,M,Systems Trace Audit Number
SALEADJ,V,12,M,M,M,M,M,"Time, Local Transaction"
SALEADJ,V,13,M,M,M,M,M,"Date, Local Transaction"
SALEADJ,V,14,X,X,X,M,X,"Date, Expiration"
SALEADJ,V,18,O,O,O,O,O,Merchant Type Code
SALEADJ,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
SALEADJ,V,24,M,M,M,M,M,Network International Identifier (NII)
SALEADJ,V,25,50,50,50,50,50,Point-of-Service Condition Code
SALEADJ,V,28,O,O,O,O,O,Transaction Fee Amount
SALEADJ,V,35,M,M,M,X,M,Track 2 Data
SALEADJ,V,36,X,X,X,X,X,Track 3 Data
SALEADJ,V,37,M,M,M,M,M,Retrieval Reference Number
